epoch,test_mean_ep_len,test_mean_ep_ret
1,200.0,-1554.1522162119122
2,200.0,-1449.4189813430937
3,200.0,-1015.6985551598855
4,200.0,-216.86718980024588
5,200.0,-179.4833189747043
6,200.0,-252.29974371492546
7,200.0,-166.09582416656005
8,200.0,-223.2680923849502
9,200.0,-168.05195568560003
10,200.0,-187.39357034766647
11,200.0,-167.05658792778817
12,200.0,-166.89551429752936
13,200.0,-142.27488878439107
14,200.0,-155.3856856346285
15,200.0,-145.2554190749794
16,200.0,-135.2306468538778
17,200.0,-153.02854158215717
18,200.0,-174.6289719296563
19,200.0,-157.12334716598838
20,200.0,-83.41403008676306
21,200.0,-156.88770593433588
22,200.0,-133.4985900446048
23,200.0,-133.46715249256718
24,200.0,-131.32583957629146
25,200.0,-190.98367116521237
26,200.0,-169.87678671056958
27,200.0,-159.25188631033916
28,200.0,-110.14273183567063
29,200.0,-111.28657606748584
30,200.0,-139.80027873631678
31,200.0,-109.23339502953738
32,200.0,-108.48345592119067
33,200.0,-145.44772299916121
34,200.0,-142.99337163755783
35,200.0,-176.60967389683213
36,200.0,-132.00273172433094
37,200.0,-123.4772895271154
38,200.0,-135.3354326319721
39,200.0,-136.13329856704073
40,200.0,-164.4385596554524
41,200.0,-165.10249988271647
42,200.0,-96.4638294213594
43,200.0,-126.95541872769152
44,200.0,-148.91901223940047
45,200.0,-119.1885303354417
46,200.0,-182.32534756420173
47,200.0,-87.78841304228301
48,200.0,-124.67545255708512
49,200.0,-153.5660007093067
50,200.0,-174.30885323550334
51,200.0,-117.45293229470921
52,200.0,-132.0024388628571
53,200.0,-130.46011559320985
54,200.0,-168.78876651056075
55,200.0,-164.77830612357576
56,200.0,-107.59796578312208
57,200.0,-167.10523327492473
58,200.0,-177.59336966604545
59,200.0,-175.61969003283284
60,200.0,-107.84687953435318
61,200.0,-140.02749014007748
62,200.0,-157.36650298572508
63,200.0,-147.73240398851195
64,200.0,-138.75514625792954
65,200.0,-156.64087097039538
66,200.0,-149.97143723591822
67,200.0,-151.3323116724825
68,200.0,-132.60968483577537
69,200.0,-121.84509176674001
70,200.0,-161.84438011539595
71,200.0,-120.87861683184096
72,200.0,-158.388958516923
73,200.0,-72.80582136629647
74,200.0,-146.60369575371246
75,200.0,-122.21464383882244
76,200.0,-142.0768550288893
77,200.0,-132.33789921442832
78,200.0,-108.5121609276659
79,200.0,-162.6692091106389
80,200.0,-118.73138509085649
81,200.0,-141.07996384846155
82,200.0,-140.3995755949281
83,200.0,-118.83522734235461
84,200.0,-143.1831293879149
85,200.0,-172.0257365186938
86,200.0,-154.32018701219764
87,200.0,-136.05913480619185
88,200.0,-152.1713588658928
89,200.0,-156.202759832081
90,200.0,-171.18691070778618
91,200.0,-120.46832374831129
92,200.0,-141.27646582082895
93,200.0,-153.07343527777272
94,200.0,-158.77091911876192
95,200.0,-154.9546415382002
96,200.0,-159.00186738227168
97,200.0,-121.13664016033519
98,200.0,-156.58438447322624
99,200.0,-156.81727688355957
100,200.0,-162.22565910493245
