epoch,timestep,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,10000,1000.0,-262.041607386541,1000.0,-1.666462401768889,0:29:31
2,20000,1000.0,-80.0839438500703,1000.0,817.5092750887268,6:07:19
3,30000,1000.0,1064.5074172534648,1000.0,2847.2277408344316,7:59:39
4,40000,1000.0,2668.0711008405024,1000.0,3836.7623010686775,8:55:20
5,50000,1000.0,3605.966056290376,1000.0,4478.907933074804,9:28:21
6,60000,1000.0,3971.103971064661,1000.0,5113.566461441229,9:50:08
7,70000,1000.0,4879.0467251041455,1000.0,5732.878584819421,10:05:18
8,80000,1000.0,5198.7235386431485,1000.0,6000.02046984303,10:16:39
9,90000,1000.0,5209.36481654809,1000.0,5835.90351330144,10:25:22
10,100000,1000.0,5714.465430240838,1000.0,5939.417705177293,10:32:06
11,110000,1000.0,5896.8719945248,1000.0,6476.073616239407,10:37:18
12,120000,1000.0,6146.129522785838,1000.0,6788.176758319634,10:41:22
13,130000,1000.0,6412.489892816966,1000.0,6972.467872067888,10:44:35
14,140000,1000.0,6630.367265705446,1000.0,7471.034577933131,10:47:08
15,150000,1000.0,6319.504633943412,1000.0,7542.236634631425,10:49:11
16,160000,1000.0,7025.625542143831,1000.0,7638.581367825308,10:50:51
17,170000,1000.0,7134.527446067744,1000.0,7798.806647675583,10:52:16
18,180000,1000.0,7409.143736699841,1000.0,7407.431701361951,10:53:29
19,190000,1000.0,7611.533098726228,1000.0,7633.733923068998,10:54:32
20,200000,1000.0,7534.398112845728,1000.0,7147.8219034409,10:55:23
21,210000,1000.0,7952.267202169506,1000.0,8173.156529189362,10:56:03
22,220000,1000.0,8133.412982420629,1000.0,8806.774442579288,10:56:35
23,230000,1000.0,8344.340905434588,1000.0,8138.76844477928,10:57:03
24,240000,1000.0,8552.919571361444,1000.0,9100.702632348515,10:57:30
25,250000,1000.0,8279.719470688779,1000.0,9099.639273256105,10:57:50
26,260000,1000.0,8793.119554632878,1000.0,9781.403283583635,10:58:09
27,270000,1000.0,8975.44165102574,1000.0,8633.550305423016,10:58:33
28,280000,1000.0,9048.322322886112,1000.0,8645.720354943916,10:58:56
29,290000,1000.0,9260.823163432933,1000.0,9380.696283671157,10:59:23
30,300000,1000.0,8732.391596609377,1000.0,9608.758610158824,10:59:50
31,310000,1000.0,9327.424799958191,1000.0,9816.559511652844,11:00:15
32,320000,1000.0,9568.211558906387,1000.0,9700.65669881363,11:00:38
33,330000,1000.0,9522.212252586154,1000.0,9782.702537301748,11:00:55
34,340000,1000.0,9596.794028676683,1000.0,9750.317473431165,11:01:08
35,350000,1000.0,9718.051139317184,1000.0,10480.54666832148,11:01:15
36,360000,1000.0,9855.361180114229,1000.0,10526.310128863834,11:01:14
37,370000,1000.0,9888.757884988097,1000.0,10412.002477818543,11:01:06
38,380000,1000.0,9886.107356597991,1000.0,10586.24805105693,11:00:54
39,390000,1000.0,9868.394077323665,1000.0,10680.848997165926,11:00:42
40,400000,1000.0,10012.510168956627,1000.0,10545.695206133194,11:00:31
41,410000,1000.0,9937.914395544129,1000.0,9971.402618675473,11:00:19
42,420000,1000.0,10119.09486265993,1000.0,10798.56320974748,11:00:06
43,430000,1000.0,10196.67805224958,1000.0,10949.799221492112,10:59:52
44,440000,1000.0,10249.163265213436,1000.0,10658.957562762209,10:59:38
45,450000,1000.0,10319.903212650295,1000.0,10608.184808480508,10:59:24
46,460000,1000.0,10282.829392883865,1000.0,10927.803052638908,10:59:06
47,470000,1000.0,10508.620864984765,1000.0,10186.772922751805,10:58:44
48,480000,1000.0,10456.791334951966,1000.0,10915.242014383655,10:58:20
49,490000,1000.0,10360.545152240964,1000.0,10711.62151528552,10:57:55
50,500000,1000.0,10555.18476529456,1000.0,10616.736168097266,10:57:28
