epoch,test_mean_ep_len,test_mean_ep_ret
1,200.0,-1269.808138471331
2,200.0,-1406.8529215108827
3,200.0,-506.5906472973937
4,200.0,-235.46034351565544
5,200.0,-183.27107802754168
6,200.0,-466.6540264165058
7,200.0,-210.16664805778174
8,200.0,-138.76710119303937
9,200.0,-133.279922951444
10,200.0,-180.79292984093814
11,200.0,-153.92751712825185
12,200.0,-160.46090589514432
13,200.0,-131.39183171834517
14,200.0,-164.42969546560624
15,200.0,-186.53093213152013
16,200.0,-130.1944966938795
17,200.0,-117.92262116173966
18,200.0,-140.42142465497545
19,200.0,-94.88543587855004
20,200.0,-128.45538355047518
21,200.0,-182.495375418656
22,200.0,-143.84285013976032
23,200.0,-129.03861991373938
24,200.0,-97.59275905012203
25,200.0,-96.38887716656072
26,200.0,-96.17035043217767
27,200.0,-152.2050391028243
28,200.0,-119.72811532381759
29,200.0,-166.87051441103804
30,200.0,-155.94979310786607
31,200.0,-143.02557250656395
32,200.0,-119.26372030953223
33,200.0,-151.95070265031103
34,200.0,-125.61056472090831
35,200.0,-154.93737951584458
36,200.0,-188.85046667053882
37,200.0,-153.29388851248447
38,200.0,-124.72949612783918
39,200.0,-149.82499350344926
40,200.0,-143.16407813054985
41,200.0,-155.88370582431136
42,200.0,-133.0493741880826
43,200.0,-133.82830888091988
44,200.0,-119.8656117198331
45,200.0,-176.46929396454493
46,200.0,-151.31460767321974
47,200.0,-133.14879956616656
48,200.0,-121.354608269576
49,200.0,-156.837198537723
50,200.0,-160.05880080451956
51,200.0,-194.74433387331516
52,200.0,-119.02180217336783
53,200.0,-185.1491010532508
54,200.0,-128.8447485259653
55,200.0,-119.0659775081396
56,200.0,-169.64831296920798
57,200.0,-136.47175689445473
58,200.0,-195.10641400828007
59,200.0,-147.3694825889466
60,200.0,-200.08390369371614
61,200.0,-147.62828079293206
62,200.0,-90.0089210213084
63,200.0,-140.19328938537979
64,200.0,-132.60613808982896
65,200.0,-183.02808022584344
66,200.0,-160.5078450048782
67,200.0,-127.12523322860379
68,200.0,-144.17648260920075
69,200.0,-158.65014032951777
70,200.0,-159.04809344562346
71,200.0,-155.0968522457884
72,200.0,-132.26487945919166
73,200.0,-133.66519164148357
74,200.0,-123.83186404392696
75,200.0,-161.3935465165494
76,200.0,-119.90799051139436
77,200.0,-145.98365447962425
78,200.0,-96.59184095891936
79,200.0,-153.10324659883332
80,200.0,-143.18206691656607
81,200.0,-119.26930132325637
82,200.0,-152.610692685623
83,200.0,-149.39458010656404
84,200.0,-145.3154425084645
85,200.0,-147.1593652288432
86,200.0,-83.85603178339423
87,200.0,-153.19861703526936
88,200.0,-165.8249719544461
89,200.0,-131.07577858693372
90,200.0,-192.63924639648127
91,200.0,-180.66397487738715
92,200.0,-114.71792918821886
93,200.0,-152.94791356200898
94,200.0,-203.97116016804745
95,200.0,-134.04079477223127
96,200.0,-177.28921849225048
97,200.0,-164.21998183833313
98,200.0,-118.56165946726087
99,200.0,-130.28384147131513
100,200.0,-171.63608285840738
