epoch,timestep,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,10000,180.45454545454547,-57.58536491088032,1000.0,990.6344574797522,1:04:18
2,20000,299.03125,13.56840708414622,907.8,658.1674152845032,7:08:44
3,30000,417.3333333333333,21.921029771586063,775.4,726.6525571868046,9:07:41
4,40000,333.2758620689655,63.69419369892034,658.2,590.8422466334885,10:04:58
5,50000,431.8,135.74824611477848,901.7,826.6871169887563,10:40:31
6,60000,508.6666666666667,150.4462819564543,724.4,715.0666693237201,11:02:42
7,70000,593.2352941176471,227.60750386146725,524.0,617.9386447715505,11:16:56
8,80000,664.875,360.7104558357354,790.6,1241.286421273696,11:28:38
9,90000,737.7692307692307,257.9308882620636,537.7,599.9351031829036,11:36:30
10,100000,715.2857142857143,345.0904263448812,725.5,774.3639388343306,11:43:09
11,110000,600.2941176470588,300.391191316314,795.9,1057.7793009601526,11:48:34
12,120000,529.0526315789474,392.07869851861074,445.0,447.0329977814689,11:51:44
13,130000,635.0,542.9806494858228,717.2,999.5406847439266,11:55:09
14,140000,832.6363636363636,376.1010538840094,905.8,835.9086994962387,11:58:32
15,150000,656.9375,678.8729357192739,634.7,1082.333718899857,12:01:14
16,160000,749.6153846153846,638.8545908599909,857.0,1355.039700642646,12:03:51
17,170000,635.8125,786.6403525754558,883.2,1471.5201737295915,12:06:00
18,180000,630.875,843.2757881366538,1000.0,2168.384236730948,12:08:07
19,190000,809.5,641.4932442276719,541.4,879.8045158664145,12:08:59
20,200000,696.4285714285714,711.3466925456394,927.0,1976.1106663660717,12:10:29
21,210000,1000.0,1372.0901506586258,378.1,656.5922904367368,12:10:43
22,220000,587.3888888888889,1162.1312637060935,971.3,2848.670987763578,12:12:23
23,230000,745.0769230769231,1610.0548031982705,835.7,1663.2255043749635,12:13:41
24,240000,670.2666666666667,1531.362739393431,843.8,2976.277322913556,12:14:42
25,250000,550.9444444444445,1451.8933660161422,371.2,1089.7030040119812,12:14:44
26,260000,907.5454545454545,2163.738078120166,916.6,3806.5242150138483,12:15:33
