epoch,timestep,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,10000,1000.0,-284.58182324779136,1000.0,-2.5365143337645533,0:34:25
2,20000,1000.0,-122.888987964947,1000.0,1087.5145861465014,6:27:09
3,30000,1000.0,1136.558116699026,1000.0,2861.673570111877,8:24:20
4,40000,1000.0,2414.8782233360516,1000.0,3294.6204477101483,9:22:32
5,50000,1000.0,3533.96140463997,1000.0,4226.624234080338,9:57:01
6,60000,1000.0,4166.731907868971,1000.0,4767.927426426586,10:19:33
7,70000,1000.0,4555.903022143581,1000.0,4975.625576003526,10:35:09
8,80000,1000.0,4859.832535046076,1000.0,5406.188816500269,10:46:36
9,90000,1000.0,5074.321051732923,1000.0,5574.015977787246,10:55:13
10,100000,1000.0,5249.246714416566,1000.0,5686.30189099918,11:01:51
11,110000,1000.0,5306.628990762436,1000.0,5873.002880731293,11:07:04
12,120000,1000.0,5454.906362125852,1000.0,6006.156578904627,11:10:58
13,130000,1000.0,5659.2584166005545,1000.0,6013.689958568099,11:14:05
14,140000,1000.0,5708.596399270195,1000.0,6242.240084410174,11:16:36
15,150000,1000.0,5888.268486494293,1000.0,6495.1719889710375,11:18:32
16,160000,1000.0,5672.222633150541,1000.0,6651.832219855428,11:20:01
17,170000,1000.0,5586.123068411549,1000.0,6770.949197667331,11:21:18
18,180000,1000.0,6302.228526700313,1000.0,6232.155044552111,11:22:19
19,190000,1000.0,5987.506035170494,1000.0,7488.724314067581,11:23:03
20,200000,1000.0,6658.0082858429905,1000.0,6981.394161557063,11:23:43
21,210000,1000.0,6909.741830637098,1000.0,7340.5929697813235,11:24:17
22,220000,1000.0,6542.4146129329865,1000.0,7696.142470720895,11:24:47
23,230000,1000.0,7243.326329877176,1000.0,7836.000516001467,11:25:16
24,240000,1000.0,7290.304888561167,1000.0,8217.477630850157,11:25:41
25,250000,1000.0,7525.757349299622,1000.0,8000.233421431154,11:26:04
26,260000,1000.0,7537.152914373092,1000.0,8168.469503233435,11:26:22
27,270000,1000.0,7711.202414507973,1000.0,7906.771677817391,11:26:44
28,280000,1000.0,7869.907592141372,1000.0,8347.102589127648,11:27:05
29,290000,1000.0,7975.902844035355,1000.0,8561.579367181319,11:27:23
30,300000,1000.0,8102.714813057854,1000.0,8589.421429558119,11:27:31
31,310000,1000.0,8141.484734625825,1000.0,8575.085957797783,11:27:35
32,320000,1000.0,8248.778746964248,1000.0,8796.559438271875,11:27:32
33,330000,1000.0,8393.787148357253,1000.0,9263.677335150926,11:27:20
34,340000,1000.0,8518.975178054281,1000.0,8893.88869942064,11:27:02
35,350000,1000.0,8576.698771078152,1000.0,8866.549122376899,11:26:41
36,360000,1000.0,8786.010068297557,1000.0,8927.039699483777,11:26:18
37,370000,1000.0,8741.042120648912,1000.0,9234.044889537177,11:25:52
38,380000,1000.0,8855.0787250065,1000.0,9471.874196298559,11:25:25
39,390000,1000.0,8808.709502669568,1000.0,9640.894588845793,11:24:58
40,400000,1000.0,8820.893946143009,1000.0,9217.686507266988,11:24:31
41,410000,1000.0,8987.69662548868,1000.0,9538.676315546481,11:24:04
42,420000,1000.0,9078.638694592377,1000.0,9250.441166868844,11:23:33
43,430000,1000.0,9057.883055712675,1000.0,9732.347181239978,11:23:01
44,440000,1000.0,9192.143296997907,1000.0,9055.365586776603,11:22:26
45,450000,1000.0,9242.098076928078,1000.0,9724.303527580027,11:21:48
46,460000,1000.0,9220.346134276491,1000.0,9806.959351269708,11:21:11
47,470000,1000.0,9236.468404542427,1000.0,9843.686694073562,11:20:32
48,480000,1000.0,8822.110540712743,1000.0,9978.027324742163,11:19:52
49,490000,1000.0,9363.771302799832,1000.0,10058.32149359755,11:19:10
50,500000,1000.0,9353.062302017632,1000.0,9866.148231978563,11:18:25
51,510000,1000.0,9458.585902316352,1000.0,10216.71720180871,11:17:38
52,520000,1000.0,8729.106570843924,1000.0,9180.007047009622,11:16:51
53,530000,1000.0,8821.72282556186,1000.0,9353.209385627764,11:16:02
54,540000,1000.0,9498.425720171279,1000.0,10051.950017124846,11:15:13
55,550000,1000.0,9396.092733374013,1000.0,9194.17219829195,11:14:22
56,560000,1000.0,9523.854721230486,1000.0,10037.195093329641,11:13:30
57,570000,1000.0,9634.614791246195,1000.0,10201.112457363177,11:12:40
58,580000,1000.0,9637.492488211461,1000.0,10075.957516616443,11:11:50
59,590000,1000.0,9777.217580927816,1000.0,9846.879253829424,11:10:56
60,600000,1000.0,9741.529849021068,1000.0,10274.93276830329,11:10:04
61,610000,1000.0,9834.180556810847,1000.0,10369.191071723471,11:09:14
62,620000,1000.0,9894.223508087478,1000.0,10532.486159997361,11:08:26
63,630000,1000.0,9729.863451057443,1000.0,10013.520586053886,11:07:39
64,640000,1000.0,9844.538261269068,1000.0,10237.634243422563,11:06:53
65,650000,1000.0,9869.024517298858,1000.0,10489.361882638277,11:06:07
66,660000,1000.0,9831.543587521886,1000.0,10284.765302183576,11:05:23
67,670000,1000.0,10045.736876650946,1000.0,10414.077956494297,11:04:46
68,680000,1000.0,9989.48373653145,1000.0,10586.622397236893,11:04:05
69,690000,1000.0,10058.619198770153,1000.0,10107.367585499205,11:03:25
70,700000,1000.0,9987.400638513525,1000.0,10425.25654754313,11:02:44
71,710000,1000.0,10087.169538094084,1000.0,10521.07672742722,11:02:00
72,720000,1000.0,9968.994260002897,1000.0,10744.628647801215,11:01:17
73,730000,1000.0,10173.459778272936,1000.0,10418.51487288409,11:00:32
74,740000,1000.0,10084.79517300349,1000.0,10546.22503018738,10:59:46
75,750000,1000.0,10078.913035142192,1000.0,10723.057381683035,10:58:58
76,760000,1000.0,10097.617720647093,1000.0,10659.730789193492,10:58:10
77,770000,1000.0,10278.398718885865,1000.0,10551.225714540882,10:57:19
78,780000,1000.0,10265.499169076333,1000.0,10787.544137648007,10:56:29
79,790000,1000.0,10237.77595371709,1000.0,10658.369446403583,10:55:34
80,800000,1000.0,10276.771366576682,1000.0,10893.878956836927,10:54:39
