epoch,test_mean_ep_len,test_mean_ep_ret,time_left
1,200.0,-1266.0525890950653,0:01:12
2,200.0,-1278.907199850364,0:08:25
3,200.0,-398.84270095927064,0:10:56
4,200.0,-116.88709352690591,0:12:06
5,200.0,-182.95142950671882,0:12:46
6,200.0,-130.09076167396063,0:13:09
7,200.0,-358.0559724465526,0:13:23
8,200.0,-403.6369531095511,0:13:30
9,200.0,-152.78272365200692,0:13:35
10,200.0,-159.53241657250823,0:13:36
11,200.0,-131.07860047435574,0:13:35
12,200.0,-119.45727718556327,0:13:32
13,200.0,-175.8382466113693,0:13:28
14,200.0,-107.0770893776574,0:13:24
15,200.0,-148.25415246980367,0:13:19
16,200.0,-170.6252190146263,0:13:13
17,200.0,-164.2280639465949,0:13:08
18,200.0,-119.27757925297601,0:13:02
19,200.0,-174.17093116611076,0:12:55
20,200.0,-117.90832844048418,0:12:48
21,200.0,-134.91248343467473,0:12:40
22,200.0,-123.01291319721126,0:12:32
23,200.0,-108.72146270322585,0:12:24
24,200.0,-144.11132188920166,0:12:16
25,200.0,-192.42649424955857,0:12:08
26,200.0,-109.92615576111348,0:12:00
27,200.0,-138.71069884867052,0:11:51
28,200.0,-184.3526565089781,0:11:42
29,200.0,-158.14444666763006,0:11:34
30,200.0,-98.01415312797013,0:11:25
31,200.0,-145.96901070522784,0:11:16
32,200.0,-153.96185003493122,0:11:07
33,200.0,-109.22594381335966,0:10:58
34,200.0,-154.35848422726278,0:10:49
35,200.0,-142.68434496578624,0:10:40
36,200.0,-157.39306945343822,0:10:31
37,200.0,-192.16894104162196,0:10:22
38,200.0,-127.70078855923903,0:10:13
39,200.0,-175.3252202027584,0:10:05
40,200.0,-146.18573461691878,0:09:56
41,200.0,-174.62201651413588,0:09:47
42,200.0,-146.44812880394883,0:09:37
43,200.0,-101.00909467083923,0:09:28
44,200.0,-175.96494488980505,0:09:19
45,200.0,-182.7325017141443,0:09:09
46,200.0,-139.94570294634798,0:09:00
47,200.0,-218.9918039875851,0:08:50
48,200.0,-185.1050749139011,0:08:40
49,200.0,-160.13271592045976,0:08:31
50,200.0,-155.78990414529645,0:08:21
51,200.0,-165.44890351160686,0:08:11
52,200.0,-152.39541620368942,0:08:01
53,200.0,-163.77875228074043,0:07:52
54,200.0,-125.96421153791474,0:07:42
55,200.0,-156.79576990867588,0:07:32
56,200.0,-98.60592021017541,0:07:22
57,200.0,-108.67322090623387,0:07:13
58,200.0,-119.2308189216496,0:07:03
59,200.0,-77.74236406451715,0:06:53
60,200.0,-167.62153497451112,0:06:43
61,200.0,-137.6150123098613,0:06:33
62,200.0,-155.11203560021931,0:06:24
63,200.0,-143.32444153418135,0:06:14
64,200.0,-223.66992705721205,0:06:04
65,200.0,-144.83489467614385,0:05:54
66,200.0,-143.24516194374993,0:05:45
67,200.0,-124.50482643412768,0:05:35
68,200.0,-137.874508206764,0:05:25
69,200.0,-162.60492025002935,0:05:15
70,200.0,-151.29750177073424,0:05:05
71,200.0,-160.36653752792725,0:04:55
72,200.0,-156.62027673038753,0:04:45
73,200.0,-214.68462717957655,0:04:36
74,200.0,-132.9923084113271,0:04:26
75,200.0,-119.18349665113828,0:04:16
76,200.0,-193.43840906421067,0:04:06
77,200.0,-174.76198552638692,0:03:56
78,200.0,-120.57210419953955,0:03:46
79,200.0,-146.22634571511293,0:03:36
80,200.0,-177.31425717692477,0:03:26
81,200.0,-126.71403744090341,0:03:16
82,200.0,-127.54264192997202,0:03:05
83,200.0,-136.62288578772666,0:02:55
84,200.0,-140.2861869785097,0:02:45
85,200.0,-163.72595735575044,0:02:35
86,200.0,-176.30972950337613,0:02:25
87,200.0,-160.98314391125285,0:02:14
88,200.0,-112.21683644271339,0:02:04
89,200.0,-115.67123917447603,0:01:54
90,200.0,-171.97811129080267,0:01:44
91,200.0,-113.7792988201896,0:01:33
92,200.0,-170.31400512561635,0:01:23
93,200.0,-142.97682072369878,0:01:13
94,200.0,-165.87243150640185,0:01:02
95,200.0,-165.85911020474924,0:00:52
96,200.0,-96.46975565756296,0:00:41
97,200.0,-173.45377546700684,0:00:31
98,200.0,-122.50432169669413,0:00:20
99,200.0,-132.68171998492082,0:00:10
100,200.0,-142.49359404089108,0:00:00
