epoch,test_mean_ep_len,test_mean_ep_ret,time_left
1,200.0,-1271.2721146843983,0:01:11
2,200.0,-1399.387849071114,0:07:21
3,200.0,-957.8726587909296,0:09:31
4,200.0,-153.5619967213935,0:10:32
5,200.0,-169.7658478905218,0:11:08
6,200.0,-158.32091570087533,0:11:29
7,200.0,-198.7519028957471,0:11:41
8,200.0,-107.19915954204491,0:11:48
9,200.0,-197.28629858040495,0:11:51
10,200.0,-144.46951994890944,0:11:53
11,200.0,-143.18617050135967,0:11:52
12,200.0,-106.89407562756193,0:11:51
13,200.0,-168.3145307075644,0:11:48
14,200.0,-108.05956762585181,0:11:44
15,200.0,-84.40373382040433,0:11:39
16,200.0,-160.17864165037116,0:11:35
17,200.0,-157.08175208766892,0:11:29
18,200.0,-139.91189953502743,0:11:23
19,200.0,-140.9620722730678,0:11:17
20,200.0,-198.06597420440005,0:11:11
21,200.0,-166.34907907379008,0:11:04
22,200.0,-140.64399499987493,0:10:58
23,200.0,-158.86559175607002,0:10:51
24,200.0,-146.34536455754235,0:10:44
25,200.0,-144.03812255999443,0:10:36
26,200.0,-130.42530438787304,0:10:29
27,200.0,-178.6487625514455,0:10:22
28,200.0,-145.61250979807159,0:10:14
29,200.0,-192.01812009845094,0:10:07
30,200.0,-189.24978739416815,0:09:59
31,200.0,-132.46012396824491,0:09:51
32,200.0,-173.9602276190928,0:09:43
33,200.0,-157.54207297109772,0:09:35
34,200.0,-128.52577309310416,0:09:27
35,200.0,-169.05473957231456,0:09:19
36,200.0,-164.50254368023684,0:09:11
37,200.0,-164.35117017448593,0:09:03
38,200.0,-156.57467845047964,0:08:55
39,200.0,-226.88900447701926,0:08:47
40,200.0,-127.81898260398084,0:08:39
41,200.0,-97.39993478429169,0:08:31
42,200.0,-112.67468486026553,0:08:23
43,200.0,-144.19233005530026,0:08:14
44,200.0,-163.11473771791597,0:08:06
45,200.0,-167.41303853689215,0:07:58
46,200.0,-136.52228818665054,0:07:50
47,200.0,-209.50263802646182,0:07:41
48,200.0,-182.06075652811737,0:07:33
49,200.0,-122.57339913564542,0:07:24
50,200.0,-120.9011754525227,0:07:16
51,200.0,-145.827811371485,0:07:08
52,200.0,-178.64956631998857,0:06:59
53,200.0,-137.25193421283487,0:06:51
54,200.0,-176.8363049547081,0:06:43
55,200.0,-129.65647136284224,0:06:34
56,200.0,-131.47654126711933,0:06:26
57,200.0,-129.53589982461148,0:06:17
58,200.0,-163.47034867117281,0:06:09
59,200.0,-146.76564650938866,0:06:01
60,200.0,-133.54780041341408,0:05:52
61,200.0,-136.13349829873533,0:05:44
62,200.0,-153.50352755258493,0:05:35
63,200.0,-167.3020895733849,0:05:27
64,200.0,-168.87705715466066,0:05:18
65,200.0,-115.9767094175838,0:05:10
66,200.0,-120.79574586644637,0:05:02
67,200.0,-132.6243930359916,0:04:53
68,200.0,-121.52539034249189,0:04:45
69,200.0,-161.27069299045743,0:04:36
70,200.0,-119.13572159032246,0:04:28
71,200.0,-132.1218919297261,0:04:19
72,200.0,-124.55037995576595,0:04:11
73,200.0,-169.19680112995195,0:04:02
74,200.0,-75.60861043587332,0:03:54
75,200.0,-186.8352140175736,0:03:45
76,200.0,-120.96118653678187,0:03:36
77,200.0,-163.58297723018586,0:03:27
78,200.0,-125.04452078628701,0:03:19
79,200.0,-165.8806063670102,0:03:10
80,200.0,-134.01190187431857,0:03:01
81,200.0,-91.77170424417052,0:02:52
82,200.0,-179.98585343863252,0:02:43
83,200.0,-169.23545888928123,0:02:35
84,200.0,-151.93402190070668,0:02:26
85,200.0,-207.74063791038012,0:02:17
86,200.0,-117.77185755353443,0:02:08
87,200.0,-159.7390759493549,0:01:59
88,200.0,-153.91850304873793,0:01:50
89,200.0,-129.84101151936784,0:01:41
90,200.0,-141.74682173430878,0:01:32
91,200.0,-136.87933382549343,0:01:22
92,200.0,-140.49726118113585,0:01:13
93,200.0,-142.76111790572955,0:01:04
94,200.0,-154.51868158486178,0:00:55
95,200.0,-123.18916918565485,0:00:46
96,200.0,-200.37280285957797,0:00:37
97,200.0,-93.3280039628218,0:00:27
98,200.0,-139.84879592408828,0:00:18
99,200.0,-136.72665672433632,0:00:09
100,200.0,-90.15979209289844,0:00:00
