epoch,test_mean_ep_len,test_mean_ep_ret
1,200.0,-1248.8008917513673
2,200.0,-1426.4151464666138
3,200.0,-940.228840135158
4,200.0,-679.3220127638542
5,200.0,-434.5488016575385
6,200.0,-158.21681215673425
7,200.0,-158.2345915886368
8,200.0,-156.4439298439461
9,200.0,-142.94078025816233
10,200.0,-119.12298952470223
11,200.0,-139.12906494793137
12,200.0,-120.8782351092351
13,200.0,-174.41564803766008
14,200.0,-177.57742294907416
15,200.0,-126.60022851588595
16,200.0,-121.38520667867726
17,200.0,-134.43632232296576
18,200.0,-144.0371307648235
19,200.0,-176.79629983587202
20,200.0,-200.5819591969069
21,200.0,-140.57783708237602
22,200.0,-159.84126258996136
23,200.0,-160.76307412514058
24,200.0,-192.2861427188992
25,200.0,-98.75247617827056
26,200.0,-137.4556196664667
27,200.0,-170.58426463917607
28,200.0,-144.97415999651903
29,200.0,-169.597927678105
30,200.0,-130.1126738112198
31,200.0,-129.02253765440327
32,200.0,-187.95379379364832
33,200.0,-134.6849951413628
34,200.0,-185.9977647795991
35,200.0,-119.3140656707521
36,200.0,-140.15196732448314
37,200.0,-94.92380578871625
38,200.0,-118.38863509208352
39,200.0,-109.41604740931243
40,200.0,-153.7129196321212
41,200.0,-183.774217327918
42,200.0,-119.71373716347873
43,200.0,-169.38521594967997
44,200.0,-120.78013644724217
45,200.0,-132.5334871451791
46,200.0,-166.65730156092772
47,200.0,-178.99957583453428
48,200.0,-144.12534061837255
49,200.0,-158.51400567878483
50,200.0,-130.24943356408903
51,200.0,-142.27196042147563
52,200.0,-143.63488651058003
53,200.0,-220.59406823215144
54,200.0,-186.2315295108518
55,200.0,-141.62569469349307
56,200.0,-124.06528389619605
57,200.0,-163.17574390208313
58,200.0,-95.7626993498036
59,200.0,-144.99045333914415
60,200.0,-142.02289909127103
61,200.0,-150.1253742759846
62,200.0,-106.50804720157927
63,200.0,-156.03551585587462
64,200.0,-207.52726464503152
65,200.0,-163.68801751907412
66,200.0,-145.66090657502957
67,200.0,-189.87194748456898
68,200.0,-143.8459262589286
69,200.0,-142.96610452169404
70,200.0,-141.92435219344986
71,200.0,-121.05826873796157
72,200.0,-135.2359772083708
73,200.0,-146.54852158287153
74,200.0,-109.12871727269683
75,200.0,-158.9055366448377
76,200.0,-143.31809164819282
77,200.0,-151.0881619137876
78,200.0,-122.84641846429379
79,200.0,-156.09769481737374
80,200.0,-169.9263304144617
81,200.0,-134.21481077880316
82,200.0,-108.085376495357
83,200.0,-155.18538971722458
84,200.0,-121.12651720986996
85,200.0,-178.80945363529833
86,200.0,-108.20098812134313
87,200.0,-158.58614736356006
88,200.0,-85.31266588582565
89,200.0,-146.62803650326597
90,200.0,-108.3887603533187
91,200.0,-175.2398477833072
92,200.0,-157.79830447571845
93,200.0,-139.5696697245108
94,200.0,-183.91473643917055
95,200.0,-131.5732485686458
96,200.0,-168.6637817306116
97,200.0,-107.59317424305546
98,200.0,-153.12900999845465
99,200.0,-143.17546422633902
100,200.0,-143.1174038942578
