epoch,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,17.945454545454545,17.945454545454545,32.0,32.0,0:00:43
2,7.163120567375887,7.163120567375887,28.0,28.0,0:25:59
3,93.1,93.1,116.0,116.0,0:34:13
4,158.0,158.0,240.0,240.0,0:38:30
5,252.75,252.75,240.0,240.0,0:40:51
6,351.6666666666667,351.6666666666667,326.0,326.0,0:42:21
7,261.5,261.5,191.0,191.0,0:43:23
8,221.75,221.75,276.0,276.0,0:44:08
9,224.0,224.0,222.0,222.0,0:44:55
10,226.2,226.2,304.0,304.0,0:45:19
11,271.5,271.5,1000.0,1000.0,0:45:40
12,447.0,447.0,152.0,152.0,0:45:52
13,171.4,171.4,1000.0,1000.0,0:46:05
14,237.0,237.0,1000.0,1000.0,0:46:15
15,1000.0,1000.0,189.0,189.0,0:46:19
16,166.83333333333334,166.83333333333334,156.0,156.0,0:46:20
17,241.5,241.5,1000.0,1000.0,0:46:24
18,1000.0,1000.0,431.0,431.0,0:46:25
19,573.0,573.0,534.0,534.0,0:46:44
20,593.0,593.0,1000.0,1000.0,0:46:52
21,776.5,776.5,1000.0,1000.0,0:47:03
22,1000.0,1000.0,1000.0,1000.0,0:47:00
23,1000.0,1000.0,173.0,173.0,0:47:07
24,729.0,729.0,291.0,291.0,0:47:16
25,368.5,368.5,294.0,294.0,0:47:20
26,421.0,421.0,1000.0,1000.0,0:47:16
27,475.6666666666667,475.6666666666667,334.0,334.0,0:47:08
28,399.0,399.0,340.0,340.0,0:46:59
29,487.5,487.5,1000.0,1000.0,0:46:52
30,611.0,611.0,1000.0,1000.0,0:46:45
31,687.5,687.5,328.0,328.0,0:46:36
32,407.5,407.5,611.0,611.0,0:46:28
33,445.5,445.5,470.0,470.0,0:46:19
34,383.3333333333333,383.3333333333333,275.0,275.0,0:46:10
35,311.6666666666667,311.6666666666667,276.0,276.0,0:46:01
36,276.75,276.75,242.0,242.0,0:45:52
37,264.75,264.75,348.0,348.0,0:45:50
38,264.0,264.0,246.0,246.0,0:45:41
39,300.6666666666667,300.6666666666667,289.0,289.0,0:45:31
40,287.5,287.5,299.0,299.0,0:45:25
41,297.6666666666667,297.6666666666667,265.0,265.0,0:45:18
42,317.3333333333333,317.3333333333333,627.0,627.0,0:45:09
43,439.0,439.0,1000.0,1000.0,0:45:00
44,1000.0,1000.0,1000.0,1000.0,0:44:52
45,1000.0,1000.0,1000.0,1000.0,0:44:44
46,1000.0,1000.0,1000.0,1000.0,0:44:37
47,1000.0,1000.0,1000.0,1000.0,0:44:29
48,983.0,983.0,1000.0,1000.0,0:44:20
49,1000.0,1000.0,1000.0,1000.0,0:44:12
50,1000.0,1000.0,1000.0,1000.0,0:44:03
51,1000.0,1000.0,1000.0,1000.0,0:43:54
52,337.25,337.25,1000.0,1000.0,0:43:45
53,1000.0,1000.0,1000.0,1000.0,0:43:35
54,1000.0,1000.0,1000.0,1000.0,0:43:26
55,1000.0,1000.0,1000.0,1000.0,0:43:17
56,1000.0,1000.0,1000.0,1000.0,0:43:07
57,1000.0,1000.0,1000.0,1000.0,0:42:58
58,1000.0,1000.0,1000.0,1000.0,0:42:49
59,1000.0,1000.0,1000.0,1000.0,0:42:39
60,1000.0,1000.0,1000.0,1000.0,0:42:30
61,1000.0,1000.0,1000.0,1000.0,0:42:20
62,1000.0,1000.0,1000.0,1000.0,0:42:11
63,1000.0,1000.0,1000.0,1000.0,0:42:02
64,1000.0,1000.0,1000.0,1000.0,0:41:53
65,1000.0,1000.0,1000.0,1000.0,0:41:44
66,1000.0,1000.0,1000.0,1000.0,0:41:35
67,1000.0,1000.0,1000.0,1000.0,0:41:27
68,1000.0,1000.0,1000.0,1000.0,0:41:18
69,1000.0,1000.0,1000.0,1000.0,0:41:10
70,1000.0,1000.0,1000.0,1000.0,0:41:02
71,1000.0,1000.0,1000.0,1000.0,0:40:53
72,1000.0,1000.0,1000.0,1000.0,0:40:45
73,1000.0,1000.0,1000.0,1000.0,0:40:36
74,1000.0,1000.0,1000.0,1000.0,0:40:28
75,1000.0,1000.0,1000.0,1000.0,0:40:20
76,1000.0,1000.0,1000.0,1000.0,0:40:11
77,1000.0,1000.0,1000.0,1000.0,0:40:03
78,1000.0,1000.0,1000.0,1000.0,0:39:54
79,1000.0,1000.0,1000.0,1000.0,0:39:46
80,1000.0,1000.0,1000.0,1000.0,0:39:37
81,1000.0,1000.0,1000.0,1000.0,0:39:29
82,1000.0,1000.0,1000.0,1000.0,0:39:20
83,1000.0,1000.0,1000.0,1000.0,0:39:11
84,1000.0,1000.0,1000.0,1000.0,0:39:03
85,1000.0,1000.0,1000.0,1000.0,0:38:54
86,1000.0,1000.0,19.0,19.0,0:38:44
87,553.0,553.0,1000.0,1000.0,0:38:35
88,1000.0,1000.0,1000.0,1000.0,0:38:27
89,1000.0,1000.0,1000.0,1000.0,0:38:18
90,767.5,767.5,1000.0,1000.0,0:38:09
91,1000.0,1000.0,1000.0,1000.0,0:38:00
