epoch,timestep,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,10000,177.96428571428572,-55.93064080327821,1000.0,986.8016527533579,1:09:50
2,20000,312.3125,0.38711520248518116,546.1,191.53582301102702,5:46:49
3,30000,265.94117647058823,46.29421587235468,812.0,585.5782389366517,7:18:19
4,40000,575.578947368421,117.40507065689606,1000.0,897.2774071428557,8:04:28
5,50000,360.4230769230769,118.54532218944641,946.3,1093.1485633653872,8:31:07
6,60000,578.8333333333334,250.869340174189,1000.0,856.0860173031513,8:49:40
7,70000,486.8,209.96147155621674,699.8,794.0129689982474,9:02:44
8,80000,565.8823529411765,308.81632092267336,811.2,832.4108564523738,9:10:08
9,90000,618.7058823529412,335.3439042025708,443.9,440.60214467282015,9:14:26
10,100000,559.0588235294117,308.8435428965788,831.4,914.0723337167644,9:19:56
11,110000,461.2173913043478,276.1798795734085,1000.0,1448.09831656752,9:23:50
12,120000,652.4,431.3347816997142,839.0,1405.0710079927871,9:27:13
13,130000,571.5294117647059,570.0283853875083,641.3,812.9298242750107,9:28:39
14,140000,710.3333333333334,468.500642047797,881.3,1061.2905630613145,9:30:44
15,150000,691.5714285714286,425.75592540898515,823.7,928.9638460357261,9:34:30
16,160000,778.5384615384615,560.6046060851248,877.9,1463.7531562602167,9:36:27
17,170000,607.25,575.6445111266627,935.2,1477.8368707180175,9:37:36
18,180000,851.9166666666666,782.3963869848884,1000.0,2064.518728570928,9:40:37
19,190000,788.3846153846154,822.8001891266808,1000.0,1979.8057198216381,9:41:27
20,200000,879.6363636363636,885.6982568734137,1000.0,992.0858298943033,9:42:44
21,210000,1000.0,1547.115026232205,694.5,1127.1014518801028,9:43:17
22,220000,643.625,614.4134929046522,910.5,2247.055133341444,9:43:26
23,230000,628.2666666666667,654.3801305735087,915.3,2175.400479074378,9:43:24
24,240000,907.2727272727273,1351.8580190312175,1000.0,1922.4044892141749,9:45:29
25,250000,736.9285714285714,903.4320213587155,797.3,2122.887621568915,9:46:05
26,260000,866.8333333333334,1179.8639041904082,1000.0,2670.2974684121405,9:46:31
27,270000,804.25,1289.6050463481472,900.7,1809.2050513573636,9:47:33
28,280000,737.5,1041.576911326191,870.4,2250.8612146815003,9:48:14
29,290000,836.6363636363636,1522.5054178365538,978.6,2702.5972712822213,9:49:40
30,300000,974.8181818181819,1966.954564305074,949.9,2101.3552985308206,9:51:11
31,310000,888.6363636363636,1673.783817434959,875.6,1824.1136799612657,9:51:27
32,320000,602.0,1235.9350837943844,1000.0,2749.182057294842,9:51:25
33,330000,770.5384615384615,1484.6185758390734,798.7,2235.483900932474,9:51:56
34,340000,755.5,1516.4853004210308,972.1,2563.258508333559,9:53:25
35,350000,911.0,2016.2335512671825,557.9,1807.765121195284,9:53:49
36,360000,626.75,1091.489689004901,585.6,1832.2543653868038,9:54:09
37,370000,668.0666666666667,1608.5676261025326,1000.0,3070.6062260478684,9:54:53
38,380000,961.1,2208.5508063411,916.4,2903.0728740095647,9:55:16
39,390000,899.4545454545455,1941.0195666970797,1000.0,3283.207364935195,9:56:21
40,400000,864.9166666666666,2276.6910933788276,918.1,3021.4475779098047,9:57:10
41,410000,838.0833333333334,1818.6406469194724,636.3,2165.1402312824607,9:56:59
42,420000,894.9090909090909,1991.2857671495149,819.9,2343.8000249956685,9:56:54
43,430000,613.375,1680.9854741012941,659.8,1678.002991089587,9:56:42
44,440000,668.4,1516.31101457382,946.7,3003.729827684393,9:56:53
45,450000,823.25,2130.3861767139747,929.4,3245.1653500352563,9:57:16
46,460000,780.0769230769231,2039.0088684630634,842.6,3158.1313615003355,9:57:17
47,470000,705.0,1988.2648327742324,880.2,3216.503233888133,9:57:20
48,480000,696.6666666666666,2091.3465518800876,911.1,3218.416936983922,9:58:11
49,490000,743.7692307692307,2160.387597154173,915.3,3445.1004997376285,9:59:22
50,500000,729.0769230769231,2222.4203291751164,987.3,3848.1366455526777,9:59:53
51,510000,863.8333333333334,3052.228385035614,908.0,3830.9394860785133,10:00:39
52,520000,634.3125,2262.2657431075295,363.2,1507.6193371459585,10:00:08
53,530000,682.7142857142857,2259.3439679117955,858.9,3355.3744969565814,10:00:23
54,540000,845.5833333333334,3074.8724100698905,799.9,3407.1043030040914,10:00:27
55,550000,669.8,2421.489574698486,193.6,756.1547513510292,10:00:42
56,560000,687.6666666666666,2598.866094614562,1000.0,4613.090626071911,10:01:06
57,570000,897.5454545454545,3383.1484890055362,713.0,2946.669951066435,10:02:13
58,580000,796.4615384615385,2932.0066035879167,376.8,1643.966679682456,10:02:50
59,590000,671.3333333333334,2615.280624641277,480.1,2179.8476026312896,10:02:52
60,600000,834.0833333333334,3323.7552860384626,1000.0,4613.732440145743,10:02:51
61,610000,908.7272727272727,3778.56879254072,921.4,4007.6576666403926,10:03:13
62,620000,960.0,3922.0343234809034,1000.0,4645.544953254948,10:03:08
63,630000,861.25,3509.850212829096,885.6,3358.1802101823077,10:03:05
64,640000,795.5,3140.7497707192924,679.1,3101.2152471866084,10:02:55
65,650000,812.0,3557.2650515201603,1000.0,4748.249395848409,10:03:10
66,660000,857.6363636363636,3773.534527103097,902.9,4427.380372594393,10:03:31
67,670000,830.3333333333334,3644.225158070111,971.7,4874.642381740841,10:03:46
68,680000,709.2857142857143,2801.5758535869504,1000.0,4508.2048897361165,10:04:04
69,690000,831.1666666666666,3822.6546041511597,1000.0,4920.710599982122,10:03:55
70,700000,858.75,3865.590943119179,911.2,4210.740267441024,10:04:27
71,710000,718.3571428571429,3105.92761112241,938.4,4640.572838955717,10:04:52
72,720000,820.1666666666666,3704.428632035681,1000.0,5051.009487194975,10:05:17
73,730000,866.5833333333334,3724.9940824668174,829.7,3426.808865361979,10:05:16
74,740000,920.3,4226.714058545099,1000.0,5085.165033239389,10:04:50
75,750000,680.4375,3090.883007431543,915.6,4466.909566452723,10:04:48
76,760000,937.1,4346.315691961505,976.4,4702.380142025709,10:04:52
77,770000,930.2727272727273,4350.004066292184,1000.0,5119.0501310456075,10:05:03
78,780000,896.8181818181819,4312.331670748534,1000.0,5004.6826851586275,10:05:29
79,790000,772.9230769230769,3602.1985289085524,576.2,2895.246308084475,10:04:50
80,800000,721.5714285714286,3234.7010411496376,979.8,5180.983310201254,10:05:01
81,810000,924.9090909090909,4346.932506117084,1000.0,4349.662577614972,10:05:22
82,820000,770.0769230769231,3693.8879282364037,939.2,4679.105234570054,10:05:28
83,830000,776.9230769230769,3673.7019130618073,767.3,3902.0333602581936,10:05:13
84,840000,968.9,4590.6232083147015,1000.0,4816.82055280915,10:04:48
85,850000,1000.0,4774.717399808765,781.6,3905.4157379201765,10:04:36
86,860000,825.0,3929.8576663373606,928.2,4663.687733437005,10:04:08
