epoch,test_mean_ep_len,test_mean_ep_ret
1,200.0,-1231.8415626691685
2,200.0,-1199.4988580039499
3,200.0,-965.5102448419966
4,200.0,-221.68516644822722
5,200.0,-193.4147655489139
6,200.0,-193.23350555771418
7,200.0,-156.33320221869886
8,200.0,-151.9532064622324
9,200.0,-159.47138940800485
10,200.0,-151.03129506817518
11,200.0,-156.91124596415904
12,200.0,-180.33200104064827
13,200.0,-123.9673425583452
14,200.0,-130.5012823377744
15,200.0,-99.69171399143981
16,200.0,-183.32724539549463
17,200.0,-126.84184899100983
18,200.0,-154.02226570911313
19,200.0,-161.76541908678053
20,200.0,-168.94217380856873
21,200.0,-177.00959896556105
22,200.0,-135.67455506868998
23,200.0,-153.13303980112113
24,200.0,-133.65159186551688
25,200.0,-206.736000237405
26,200.0,-232.57626586776064
27,200.0,-126.27719719962275
28,200.0,-151.91193903942755
29,200.0,-182.05657462730719
30,200.0,-196.22004499321133
31,200.0,-119.04174434569904
32,200.0,-185.78571143655117
33,200.0,-153.96966978554178
34,200.0,-153.7923821805637
35,200.0,-144.4335639080088
36,200.0,-193.48250047660426
37,200.0,-163.9637220929361
38,200.0,-130.35364906234247
39,200.0,-144.1158396730227
40,200.0,-118.04291419907221
41,200.0,-132.81967136442083
42,200.0,-153.56188330570097
43,200.0,-212.3970511691597
44,200.0,-198.4685193992537
45,200.0,-137.24682344613228
46,200.0,-143.02206263778945
47,200.0,-127.05021744617076
48,200.0,-138.36169110917967
49,200.0,-104.96859807440512
50,200.0,-171.0336680653677
51,200.0,-161.1406688571381
52,200.0,-133.3130705747475
53,200.0,-177.33289019033933
54,200.0,-135.31727247266505
55,200.0,-118.05313258176177
56,200.0,-131.3951889961402
57,200.0,-98.06854530685867
58,200.0,-157.95536310569486
59,200.0,-132.95901998037598
60,200.0,-168.1064346785897
61,200.0,-158.88935969006207
62,200.0,-170.80399528253488
63,200.0,-148.94561198541965
64,200.0,-161.90535094832777
65,200.0,-189.593991562578
66,200.0,-177.50888304639054
67,200.0,-185.72051098502106
68,200.0,-132.4383075626106
69,200.0,-181.31570549467733
70,200.0,-158.78751214848745
71,200.0,-125.56016959554658
72,200.0,-177.32461327419975
73,200.0,-137.02241099150748
74,200.0,-150.19044646655203
75,200.0,-106.1131127493206
76,200.0,-118.68621100164071
77,200.0,-147.14641247012824
78,200.0,-171.0775261245297
79,200.0,-168.12963916440998
80,200.0,-142.26364042183542
81,200.0,-98.03198053445793
82,200.0,-158.24901410417715
83,200.0,-156.34546750203302
84,200.0,-141.3332579260363
85,200.0,-159.67938061201153
86,200.0,-120.44958596168286
87,200.0,-133.102615785252
88,200.0,-110.49431093903532
89,200.0,-124.09026055990782
90,200.0,-130.6296076792005
91,200.0,-95.13714146235345
92,200.0,-96.9319627152295
93,200.0,-154.3202148197883
94,200.0,-122.09486793825958
95,200.0,-121.36202201436018
96,200.0,-167.41107896985886
97,200.0,-159.1468328060576
98,200.0,-154.2315868116913
99,200.0,-124.22638845678685
100,200.0,-131.75629461169837
