epoch,test_mean_ep_len,test_mean_ep_ret
1,15.8,15.8
2,182.8,182.8
3,170.6,170.6
4,191.7,191.7
5,199.9,199.9
6,193.7,193.7
7,164.8,164.8
8,118.8,118.8
9,132.9,132.9
10,145.5,145.5
11,163.0,163.0
12,169.5,169.5
13,200.0,200.0
14,200.0,200.0
15,200.0,200.0
16,200.0,200.0
17,200.0,200.0
18,200.0,200.0
19,164.5,164.5
20,198.2,198.2
21,200.0,200.0
22,186.7,186.7
23,200.0,200.0
24,200.0,200.0
25,200.0,200.0
26,200.0,200.0
27,200.0,200.0
28,200.0,200.0
29,192.3,192.3
30,200.0,200.0
31,190.9,190.9
32,200.0,200.0
33,193.7,193.7
34,200.0,200.0
35,187.3,187.3
36,200.0,200.0
37,200.0,200.0
38,200.0,200.0
39,200.0,200.0
40,200.0,200.0
41,200.0,200.0
42,200.0,200.0
43,200.0,200.0
44,200.0,200.0
45,200.0,200.0
46,200.0,200.0
47,200.0,200.0
48,200.0,200.0
49,200.0,200.0
50,194.5,194.5
51,190.2,190.2
52,200.0,200.0
53,200.0,200.0
54,184.9,184.9
55,195.6,195.6
56,200.0,200.0
57,200.0,200.0
58,196.8,196.8
59,198.6,198.6
60,199.5,199.5
61,193.9,193.9
62,159.7,159.7
63,200.0,200.0
64,176.0,176.0
65,200.0,200.0
66,195.7,195.7
67,193.2,193.2
68,194.6,194.6
69,200.0,200.0
70,200.0,200.0
71,200.0,200.0
72,200.0,200.0
73,200.0,200.0
74,200.0,200.0
75,200.0,200.0
76,200.0,200.0
77,200.0,200.0
78,200.0,200.0
79,200.0,200.0
80,200.0,200.0
81,200.0,200.0
82,200.0,200.0
83,200.0,200.0
84,200.0,200.0
85,200.0,200.0
86,200.0,200.0
87,200.0,200.0
88,200.0,200.0
89,200.0,200.0
90,200.0,200.0
91,200.0,200.0
92,200.0,200.0
93,200.0,200.0
94,200.0,200.0
95,200.0,200.0
96,200.0,200.0
97,200.0,200.0
98,200.0,200.0
99,200.0,200.0
100,200.0,200.0
