Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	763.9032	790.0402	2532.8682	31.457764	2044.4939	797.24646	3096.1057	850.84204	512.3684	833.2	219999	94.26133	20.402075	163.8026	-56.81257	94.26125	20.401627	165.05043	-73.91553	-2.6251514	2.7631514	38.325104	-15.799715	-94.7795	13.844861	4930.954131364822
23	998.7397	790.58795	2436.7268	212.58347	1768.8596	1320.055	3404.9202	69.08333	787.5	743.6	229999	97.04172	23.514591	172.43163	-87.38604	97.04168	23.5148	174.46005	-76.347244	-2.4758153	2.8641703	53.100277	-17.895926	-97.562614	14.789467	5169.737929105759
24	821.77563	735.34216	2371.263	33.74757	2775.2104	464.4212	3084.1702	1634.765	593.55554	929.3	239999	99.489334	26.350307	177.50443	-55.607616	99.489204	26.350847	178.9957	-58.33786	-2.395932	2.920533	44.309517	-14.830248	-100.00705	16.119982	5414.981115818024
25	1466.215	980.77496	2802.315	28.157501	2525.5405	1055.5455	3588.5193	691.9228	775.6667	792.3	249999	101.85835	28.749104	184.15305	-61.31408	101.8583	28.750015	184.7559	-63.83054	-2.3412528	2.9859173	50.818024	-15.213631	-102.3647	17.844439	5662.921594619751
26	1491.1128	1000.2796	2871.1794	132.39072	1765.0642	901.92926	2958.0806	248.68066	762.2308	706.1	259999	104.93311	31.938805	192.52756	-76.57884	104.93326	31.939459	189.91536	-70.5536	-2.2042785	3.1103787	48.482357	-15.679285	-105.43041	19.250584	5912.373941421509
27	965.4668	711.40826	2742.5635	145.4451	1454.2635	1023.504	3544.2263	91.176636	600.94116	463.7	269999	108.01332	35.387325	198.46184	-65.54976	108.01329	35.38724	199.96797	-89.48473	-2.0946813	3.2016838	64.30595	-15.526581	-108.512566	21.51161	6152.300646305084
28	1439.9353	925.6886	2955.6409	119.03542	1169.7659	818.40234	2566.5671	115.29735	751.53845	571.1	279999	110.799225	38.344078	204.38705	-111.02962	110.799545	38.342785	209.8293	-134.9621	-2.0178409	3.2245972	53.315163	-15.961971	-111.28362	23.181585	6397.671146631241
29	2026.8232	1030.0503	3129.2283	502.39438	1926.6002	1369.0533	3484.534	39.650772	773.6429	638.3	289999	114.10869	41.493042	212.16307	-163.5804	114.10864	41.492332	213.10815	-113.75826	-1.8997092	3.3217618	66.04848	-15.281191	-114.5823	24.574469	6640.79328584671
30	1684.0967	1125.6338	3117.1865	29.167814	3178.7297	797.0103	3848.004	1164.459	664.2143	902.7	299999	118.121284	45.167484	221.73853	-113.631546	118.12144	45.165833	223.46706	-83.96984	-1.7604331	3.4035053	57.888916	-18.971352	-118.59622	26.793316	6874.735596656799
31	2067.4775	1011.92444	3466.0947	505.85275	2667.9824	903.6306	3785.9531	1046.1566	821.9231	764.6	309999	121.67611	48.495304	224.70515	-102.2249	121.67644	48.49333	225.5837	-94.977875	-1.6734526	3.48605	74.035126	-17.277395	-122.135025	28.965158	7109.929531574249
