epoch,test_mean_ep_len,test_mean_ep_ret,time_left
1,200.0,-1290.3033490753137,0:01:11
2,200.0,-1422.136960226556,0:07:21
3,200.0,-1075.365775197502,0:09:30
4,200.0,-169.94802612943798,0:10:31
5,200.0,-120.7747483940773,0:11:05
6,200.0,-336.9674492520059,0:11:23
7,200.0,-95.59615112790405,0:11:52
8,200.0,-174.65085660645212,0:12:17
9,200.0,-157.84750735238828,0:12:39
10,200.0,-84.47244576381311,0:12:50
11,200.0,-119.39446946084236,0:13:01
12,200.0,-189.81241277654172,0:12:54
13,200.0,-108.18853141805303,0:12:51
14,200.0,-94.95229922307757,0:12:50
15,200.0,-108.44105542689968,0:12:41
16,200.0,-169.4320633987673,0:12:38
17,200.0,-148.41242458872878,0:12:37
18,200.0,-136.39972041351558,0:12:43
19,200.0,-142.57943978417094,0:12:37
20,200.0,-139.43486510261133,0:12:32
21,200.0,-103.35847731574378,0:12:26
22,200.0,-146.77957959923577,0:12:18
23,200.0,-151.87319125619737,0:12:15
24,200.0,-161.56010083117562,0:12:08
25,200.0,-120.37394340119438,0:12:01
26,200.0,-205.91605423972547,0:11:53
27,200.0,-144.91147514891162,0:11:42
28,200.0,-135.7348677128617,0:11:31
29,200.0,-156.6321932540277,0:11:20
30,200.0,-153.68968146564566,0:11:08
31,200.0,-154.64196273945268,0:10:57
32,200.0,-250.01028912655156,0:10:47
33,200.0,-142.63113201871374,0:10:36
34,200.0,-99.21717605494045,0:10:25
35,200.0,-107.55592496834115,0:10:15
36,200.0,-164.67460233800787,0:10:05
37,200.0,-147.234503688898,0:09:54
38,200.0,-165.2213517356442,0:09:44
39,200.0,-160.67989742982687,0:09:34
40,200.0,-156.10376970808193,0:09:24
41,200.0,-147.93055137033153,0:09:14
42,200.0,-90.5260051766282,0:09:04
43,200.0,-171.64686692792546,0:08:54
44,200.0,-144.27908473418637,0:08:44
45,200.0,-167.49246584757717,0:08:35
46,200.0,-146.08282947813902,0:08:25
47,200.0,-121.42440380083625,0:08:15
48,200.0,-181.1251892248677,0:08:05
49,200.0,-156.33448569615572,0:07:56
50,200.0,-122.87065231967267,0:07:46
51,200.0,-120.99936285491738,0:07:37
52,200.0,-122.22640344819858,0:07:27
53,200.0,-134.3784240841669,0:07:18
54,200.0,-124.6113406286925,0:07:08
55,200.0,-147.66649977288358,0:06:59
56,200.0,-161.20878600949558,0:06:50
57,200.0,-193.7110105874279,0:06:40
58,200.0,-125.38865417807044,0:06:31
59,200.0,-75.56748338438072,0:06:22
60,200.0,-181.06764472684412,0:06:12
61,200.0,-147.77481515162896,0:06:03
62,200.0,-149.58526174540205,0:05:54
63,200.0,-161.66114017565184,0:05:45
64,200.0,-149.81191453925024,0:05:35
65,200.0,-146.3772465383508,0:05:26
66,200.0,-115.07140011425554,0:05:17
67,200.0,-136.0463180596564,0:05:08
68,200.0,-156.13610306094085,0:04:59
69,200.0,-156.33094183613156,0:04:50
70,200.0,-110.36859225989636,0:04:40
71,200.0,-132.30787439327682,0:04:31
72,200.0,-191.21198400644772,0:04:22
73,200.0,-122.45673598453023,0:04:13
74,200.0,-112.20488073349284,0:04:04
75,200.0,-91.81861676778526,0:03:55
76,200.0,-111.25935080723153,0:03:45
77,200.0,-116.25881538252142,0:03:36
78,200.0,-183.0216444568026,0:03:27
79,200.0,-146.79647305651434,0:03:18
80,200.0,-179.4141357685242,0:03:08
81,200.0,-145.0178944823442,0:02:59
82,200.0,-99.39468728700953,0:02:50
83,200.0,-111.17198438696278,0:02:40
84,200.0,-156.34503241047102,0:02:31
85,200.0,-119.54107360248247,0:02:22
86,200.0,-171.29557308925519,0:02:12
87,200.0,-179.57980420683808,0:02:03
88,200.0,-144.2285068595481,0:01:54
89,200.0,-144.40103919294648,0:01:44
90,200.0,-134.27981163911403,0:01:35
91,200.0,-152.61714872428416,0:01:25
92,200.0,-139.8476369741913,0:01:16
93,200.0,-129.71492893354255,0:01:06
94,200.0,-167.45355974703762,0:00:57
95,200.0,-166.68772131861184,0:00:47
96,200.0,-140.15430553115465,0:00:38
97,200.0,-166.21532565453327,0:00:28
98,200.0,-134.2228060044689,0:00:19
99,200.0,-116.88372915095002,0:00:09
100,200.0,-109.41593198203842,0:00:00
