epoch,test_mean_ep_len,test_mean_ep_ret
1,200.0,-1468.2784981058053
2,200.0,-1446.3199192369689
3,200.0,-928.9071268471267
4,200.0,-312.8554920595715
5,200.0,-145.67314202291084
6,200.0,-124.40953029859088
7,200.0,-132.03108750493672
8,200.0,-135.8420752852874
9,200.0,-151.92278753902147
10,200.0,-180.88191200328134
11,200.0,-118.78318317706069
12,200.0,-143.65954424241735
13,200.0,-174.91410718600233
14,200.0,-110.28507378520499
15,200.0,-120.5189870008044
16,200.0,-111.99827038732337
17,200.0,-146.79209312073027
18,200.0,-143.6282711727781
19,200.0,-120.21441868180132
20,200.0,-188.53569658382068
21,200.0,-157.8307970773466
22,200.0,-100.10898364008912
23,200.0,-144.41517927639455
24,200.0,-180.57339608735813
25,200.0,-167.32301357220553
26,200.0,-153.35805715512558
27,200.0,-163.94249044984866
28,200.0,-148.5084692828583
29,200.0,-115.14798241975939
30,200.0,-102.10375237518423
31,200.0,-125.86024532221572
32,200.0,-121.66356300735806
33,200.0,-108.83634367275984
34,200.0,-151.88097840899917
35,200.0,-129.68353858868574
36,200.0,-145.65725243061166
37,200.0,-85.26462993227639
38,200.0,-139.3801280469259
39,200.0,-158.50531104074327
40,200.0,-156.0317578433225
41,200.0,-144.86927653389537
42,200.0,-136.6428072134465
43,200.0,-94.49517348364621
44,200.0,-146.0172533026764
45,200.0,-147.0951100916972
46,200.0,-129.02829260735325
47,200.0,-108.68816030222754
48,200.0,-143.5630825914647
49,200.0,-143.1814059285244
50,200.0,-107.53691547302142
51,200.0,-180.48037484314432
52,200.0,-154.4262514449591
53,200.0,-132.18361654484386
54,200.0,-145.9981058496807
55,200.0,-130.88891520462067
56,200.0,-118.9602860889722
57,200.0,-123.65339393984497
58,200.0,-107.38596685115297
59,200.0,-197.95010318188454
60,200.0,-128.86165365145592
61,200.0,-200.07905063441484
62,200.0,-154.5643041892662
63,200.0,-154.07646639482655
64,200.0,-146.0633655607012
65,200.0,-163.42843561590684
66,200.0,-143.6268189028589
67,200.0,-121.80796697540522
68,200.0,-134.12353305193326
69,200.0,-177.15426208595403
70,200.0,-152.47391912901733
71,200.0,-146.53708758392833
72,200.0,-121.05289384495418
73,200.0,-167.17104299528847
74,200.0,-166.09721408707674
75,200.0,-149.10946700385574
76,200.0,-131.573665441295
77,200.0,-110.41465609010075
78,200.0,-173.66954537570876
79,200.0,-129.43084774948247
80,200.0,-145.422895397492
81,200.0,-144.13500769298952
82,200.0,-162.43955780554717
83,200.0,-122.2092361299729
84,200.0,-83.58239886169049
85,200.0,-132.25843785164324
86,200.0,-133.26598583953358
87,200.0,-133.44036206880125
88,200.0,-110.72300719979694
89,200.0,-140.20016648613176
90,200.0,-197.68261669501936
91,200.0,-151.99582711695885
92,200.0,-141.81584821989847
93,200.0,-141.00764110746212
94,200.0,-109.0572248946572
95,200.0,-119.04262894294759
96,200.0,-120.50928344704478
97,200.0,-142.62010503014181
98,200.0,-146.322827822112
99,200.0,-167.00733024526147
100,200.0,-118.937441144433
