epoch,test_mean_ep_len,test_mean_ep_ret
1,28.2,28.2
2,5.8,5.8
3,107.0,107.0
4,124.7,124.7
5,137.1,137.1
6,109.7,109.7
7,128.0,128.0
8,105.1,105.1
9,78.4,78.4
10,116.8,116.8
11,148.7,148.7
12,114.8,114.8
13,119.9,119.9
14,121.8,121.8
15,123.7,123.7
16,151.1,151.1
17,141.6,141.6
18,145.6,145.6
19,142.0,142.0
20,191.3,191.3
21,109.1,109.1
22,116.6,116.6
23,169.6,169.6
24,200.0,200.0
25,199.7,199.7
26,200.0,200.0
27,200.0,200.0
28,200.0,200.0
29,200.0,200.0
30,176.4,176.4
31,162.3,162.3
32,149.9,149.9
33,114.6,114.6
34,127.9,127.9
35,111.3,111.3
36,105.7,105.7
37,99.6,99.6
38,106.5,106.5
39,122.8,122.8
40,101.3,101.3
41,93.3,93.3
42,97.5,97.5
43,118.6,118.6
44,118.0,118.0
45,110.5,110.5
46,114.3,114.3
47,200.0,200.0
48,200.0,200.0
49,200.0,200.0
50,200.0,200.0
51,200.0,200.0
52,200.0,200.0
53,200.0,200.0
54,107.2,107.2
55,200.0,200.0
56,200.0,200.0
57,200.0,200.0
58,200.0,200.0
59,200.0,200.0
60,200.0,200.0
61,200.0,200.0
62,197.3,197.3
63,77.5,77.5
64,200.0,200.0
65,200.0,200.0
66,200.0,200.0
67,200.0,200.0
68,200.0,200.0
69,200.0,200.0
70,200.0,200.0
71,200.0,200.0
72,200.0,200.0
73,200.0,200.0
74,200.0,200.0
75,59.2,59.2
76,200.0,200.0
77,74.4,74.4
78,108.4,108.4
79,131.6,131.6
80,102.2,102.2
81,60.5,60.5
82,200.0,200.0
83,180.9,180.9
84,200.0,200.0
85,200.0,200.0
86,200.0,200.0
87,200.0,200.0
88,200.0,200.0
89,200.0,200.0
90,111.7,111.7
91,152.0,152.0
92,200.0,200.0
93,200.0,200.0
94,103.0,103.0
95,40.8,40.8
96,170.4,170.4
97,120.8,120.8
98,200.0,200.0
99,200.0,200.0
100,200.0,200.0
