epoch,train_ep_len,train_ep_ret,test_ep_len,test_ep_ret,time_rem
1,17.0,17.0,31.0,31.0,0:00:40
2,25.846153846153847,25.846153846153847,118.0,118.0,0:34:47
3,186.0,186.0,202.0,202.0,0:46:54
4,277.6666666666667,277.6666666666667,197.0,197.0,0:52:52
5,309.75,309.75,238.0,238.0,0:56:25
6,281.3333333333333,281.3333333333333,194.0,194.0,0:58:42
7,234.0,234.0,307.0,307.0,1:00:20
8,242.25,242.25,255.0,255.0,1:01:27
9,369.0,369.0,278.0,278.0,1:02:19
10,193.8,193.8,219.0,219.0,1:02:59
11,167.14285714285714,167.14285714285714,156.0,156.0,1:03:26
12,200.8,200.8,252.0,252.0,1:03:47
13,224.0,224.0,181.0,181.0,1:04:02
14,181.16666666666666,181.16666666666666,234.0,234.0,1:04:13
15,178.6,178.6,186.0,186.0,1:04:21
16,180.16666666666666,180.16666666666666,145.0,145.0,1:04:26
17,164.33333333333334,164.33333333333334,194.0,194.0,1:04:29
18,189.6,189.6,217.0,217.0,1:04:31
19,206.8,206.8,211.0,211.0,1:04:31
20,183.2,183.2,201.0,201.0,1:04:30
21,204.25,204.25,208.0,208.0,1:04:28
22,256.4,256.4,262.0,262.0,1:04:24
23,275.0,275.0,299.0,299.0,1:04:21
24,241.0,241.0,345.0,345.0,1:04:18
25,305.6666666666667,305.6666666666667,430.0,430.0,1:04:14
26,391.5,391.5,1000.0,1000.0,1:04:10
27,460.5,460.5,1000.0,1000.0,1:04:06
28,355.6666666666667,355.6666666666667,1000.0,1000.0,1:04:00
29,654.5,654.5,1000.0,1000.0,1:03:55
30,1000.0,1000.0,1000.0,1000.0,1:03:49
31,1000.0,1000.0,1000.0,1000.0,1:03:43
32,1000.0,1000.0,1000.0,1000.0,1:03:36
33,1000.0,1000.0,1000.0,1000.0,1:03:29
34,1000.0,1000.0,1000.0,1000.0,1:03:21
35,1000.0,1000.0,1000.0,1000.0,1:03:13
36,1000.0,1000.0,1000.0,1000.0,1:03:05
37,1000.0,1000.0,1000.0,1000.0,1:02:56
38,1000.0,1000.0,1000.0,1000.0,1:02:48
39,1000.0,1000.0,1000.0,1000.0,1:02:38
40,1000.0,1000.0,1000.0,1000.0,1:02:29
41,1000.0,1000.0,1000.0,1000.0,1:02:19
42,1000.0,1000.0,1000.0,1000.0,1:02:09
43,1000.0,1000.0,1000.0,1000.0,1:01:59
44,1000.0,1000.0,1000.0,1000.0,1:01:49
45,1000.0,1000.0,1000.0,1000.0,1:01:39
46,1000.0,1000.0,1000.0,1000.0,1:01:28
47,1000.0,1000.0,1000.0,1000.0,1:01:18
48,1000.0,1000.0,1000.0,1000.0,1:01:07
49,1000.0,1000.0,1000.0,1000.0,1:00:55
50,1000.0,1000.0,1000.0,1000.0,1:00:44
51,1000.0,1000.0,1000.0,1000.0,1:00:33
52,1000.0,1000.0,1000.0,1000.0,1:00:21
53,1000.0,1000.0,1000.0,1000.0,1:00:10
54,1000.0,1000.0,1000.0,1000.0,0:59:58
55,1000.0,1000.0,1000.0,1000.0,0:59:46
56,1000.0,1000.0,1000.0,1000.0,0:59:35
57,1000.0,1000.0,1000.0,1000.0,0:59:23
58,1000.0,1000.0,1000.0,1000.0,0:59:11
59,1000.0,1000.0,1000.0,1000.0,0:59:00
60,1000.0,1000.0,1000.0,1000.0,0:58:48
61,1000.0,1000.0,1000.0,1000.0,0:58:36
62,1000.0,1000.0,1000.0,1000.0,0:58:25
63,1000.0,1000.0,1000.0,1000.0,0:58:14
64,1000.0,1000.0,1000.0,1000.0,0:58:03
65,1000.0,1000.0,1000.0,1000.0,0:57:52
66,1000.0,1000.0,1000.0,1000.0,0:57:41
67,1000.0,1000.0,1000.0,1000.0,0:57:31
68,1000.0,1000.0,1000.0,1000.0,0:57:20
69,1000.0,1000.0,1000.0,1000.0,0:57:10
70,1000.0,1000.0,1000.0,1000.0,0:57:00
71,1000.0,1000.0,1000.0,1000.0,0:56:50
72,1000.0,1000.0,1000.0,1000.0,0:56:40
73,1000.0,1000.0,1000.0,1000.0,0:56:30
74,1000.0,1000.0,1000.0,1000.0,0:56:19
75,1000.0,1000.0,1000.0,1000.0,0:56:09
76,1000.0,1000.0,1000.0,1000.0,0:55:58
77,1000.0,1000.0,1000.0,1000.0,0:55:48
78,351.0,351.0,1000.0,1000.0,0:55:37
79,1000.0,1000.0,1000.0,1000.0,0:55:26
80,1000.0,1000.0,1000.0,1000.0,0:55:15
81,1000.0,1000.0,1000.0,1000.0,0:55:04
82,1000.0,1000.0,1000.0,1000.0,0:54:53
83,1000.0,1000.0,1000.0,1000.0,0:54:42
84,1000.0,1000.0,1000.0,1000.0,0:54:31
85,1000.0,1000.0,1000.0,1000.0,0:54:20
86,1000.0,1000.0,1000.0,1000.0,0:54:08
87,1000.0,1000.0,1000.0,1000.0,0:53:57
88,1000.0,1000.0,1000.0,1000.0,0:53:45
89,1000.0,1000.0,1000.0,1000.0,0:53:33
90,1000.0,1000.0,1000.0,1000.0,0:53:22
91,1000.0,1000.0,1000.0,1000.0,0:53:10
92,1000.0,1000.0,1000.0,1000.0,0:52:58
93,1000.0,1000.0,1000.0,1000.0,0:52:46
94,1000.0,1000.0,1000.0,1000.0,0:52:34
95,1000.0,1000.0,1000.0,1000.0,0:52:22
96,1000.0,1000.0,1000.0,1000.0,0:52:10
97,1000.0,1000.0,1000.0,1000.0,0:51:58
98,1000.0,1000.0,1000.0,1000.0,0:51:46
99,1000.0,1000.0,1000.0,1000.0,0:51:34
100,1000.0,1000.0,1000.0,1000.0,0:51:21
101,1000.0,1000.0,1000.0,1000.0,0:51:09
102,1000.0,1000.0,1000.0,1000.0,0:50:57
103,1000.0,1000.0,1000.0,1000.0,0:50:44
104,1000.0,1000.0,1000.0,1000.0,0:50:32
105,1000.0,1000.0,1000.0,1000.0,0:50:19
